Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.6705,Tue Jun 26 03:18:03 +0000 2018,0.273,0.727,0.0,Scientist killed while camping with daughters at Malibu Creek State Park https://t.co/071YQC4yAX https://t.co/Wzd1UGERXP,18,@CBSNews
-0.3818,Mon Jun 25 22:52:36 +0000 2018,0.133,0.867,0.0,California Gov. Jerry Brown today declared state of emergency in northern California because of a wildfire that has… https://t.co/vq4jp6sHrB,19,@CBSNews
-0.1531,Mon Jun 25 19:44:38 +0000 2018,0.221,0.583,0.196,"In a procession on Monday that was equal parts funeral and demonstration, mourners carried signs honoring Antwon Ro… https://t.co/YhEi47U6We",20,@CBSNews
-0.5106,Mon Jun 25 14:59:58 +0000 2018,0.191,0.809,0.0,"Outcry after woman dubbed ""Permit Patty"" calls police on a black child selling water https://t.co/hUhkQiJB0Q https://t.co/G9Ryc1YqbZ",21,@CBSNews
0.8122,Mon Jun 25 11:59:52 +0000 2018,0.0,0.641,0.359,"""Kindness, compassion, and positivity are very important traits in life,"" Melania Trump tells students at SADD conf… https://t.co/hmOL85StjV",22,@CBSNews
-0.5423,Mon Jun 25 09:48:04 +0000 2018,0.241,0.759,0.0,Authorities investigating fatal police shooting of black man in Minneapolis https://t.co/n4aOqDaHl7 https://t.co/Yk37SBnIVh,23,@CBSNews
-0.2755,Mon Jun 25 04:59:28 +0000 2018,0.095,0.905,0.0,Explorers have walked to the South Pole before. But they've never done it like this. Stream the new CBSN Originals… https://t.co/cLRvKAj5AX,24,@CBSNews
0.6486,Sun Jun 24 23:59:37 +0000 2018,0.0,0.791,0.209,"This father-and-son team set out on a trek to the South Pole to prove that renewable energy can save the planet. ""E… https://t.co/EYzJPU8xCY",25,@CBSNews
-0.5106,Sun Jun 24 17:39:38 +0000 2018,0.136,0.864,0.0,"""It was that close to passing, so let's focus on that"": Rep. Jim Jordan said that a failure to ""whip"" Republican la… https://t.co/Wg5VKKS5OI",26,@CBSNews
0.0,Sun Jun 24 11:03:03 +0000 2018,0.0,1.0,0.0,"This ""Hot Dog Water"" sells for $37.99 a bottle https://t.co/LCRAB8Q54L https://t.co/5aFv5yf5XI",27,@CBSNews
-0.6249,Sun Jun 24 06:03:05 +0000 2018,0.267,0.733,0.0,Jogger says she was detained for 2 weeks after accidentally crossing U.S. border from Canada https://t.co/ZNZJptwj5t https://t.co/hMReobd5Ab,28,@CBSNews
-0.4588,Sun Jun 24 01:03:04 +0000 2018,0.25,0.75,0.0,Pennsylvania teen survives being sucked into storm drain https://t.co/V0N41AHo6m https://t.co/PilF1LcBcR,29,@CBSNews
0.1027,Sat Jun 23 20:40:52 +0000 2018,0.0,0.92,0.08,"""They wanted me to apologize—no . I did though. I did apologize to Pocahontas."" President Trump addresses a crowd o… https://t.co/UCP0i0pIpe",30,@CBSNews
0.2382,Sat Jun 23 16:50:23 +0000 2018,0.143,0.716,0.141,"BARREL ROLL: It's unclear whether any of the bourbon 
spilled as a result of the collapse, but it was definitely 
""… https://t.co/g2tT5QWEwq",31,@CBSNews
-0.5423,Sat Jun 23 11:33:04 +0000 2018,0.226,0.774,0.0,"Police: Man kills ex-wife's lawyer, self hours after divorce is final https://t.co/i2TJxfTCyt https://t.co/xIDI0R3LoV",32,@CBSNews
-0.1027,Sat Jun 23 06:33:03 +0000 2018,0.123,0.877,0.0,Hard Rock casino's 30-foot guitar sign includes giant typo https://t.co/GVB46npDNU https://t.co/nTMMmXYKg3,33,@CBSNews
-0.0516,Sat Jun 23 00:59:49 +0000 2018,0.129,0.75,0.121,"""We have a broken immigration system, both of these bills are better than the system that we have now"": Republicans… https://t.co/qcxp1cmFD6",34,@CBSNews
0.0,Fri Jun 22 19:30:00 +0000 2018,0.0,1.0,0.0,"Today is ""Take Your Dog To Work Day."" But if you worked at these 10 companies, every day would be.… https://t.co/Fx46Df4tYa",35,@CBSNews
0.0516,Fri Jun 22 14:44:17 +0000 2018,0.142,0.708,0.15,NEW: Supreme Court rules police need search warrants in order to take location data from a criminal suspect's cellp… https://t.co/UcPLNxvMKL,36,@CBSNews
-0.3384,Fri Jun 22 11:40:38 +0000 2018,0.084,0.916,0.0,"RT @CBSThisMorning: ""I asked her how long she'd been traveling, and she gave me this very weary look, and she said she'd been on the road w…",37,@CBSNews
-0.25,Fri Jun 22 09:33:03 +0000 2018,0.154,0.846,0.0,Timeline for reuniting separated families remains unclear as questions mount https://t.co/JdHQMxdCwb https://t.co/jDSFY6a0YO,38,@CBSNews
-0.2732,Fri Jun 22 04:33:04 +0000 2018,0.116,0.884,0.0,"Johnny Depp: ""I was as low as I believe I could have gotten"" after money and marital problems… https://t.co/vsvYPESKvy",39,@CBSNews
-0.4019,Thu Jun 21 22:54:47 +0000 2018,0.114,0.886,0.0,Problems continue to mount for Purdue Pharma. The maker of Oxycontin laid off its entire sales team this week and 2… https://t.co/Cy7F0ibI6l,40,@CBSNews
0.5719,Thu Jun 21 18:45:02 +0000 2018,0.0,0.812,0.188,"RT @CBSSunday: It's not #SummerSolstice for everyone

Australian Antarctic expeditioners celebrated the winter solstice with a plunge into…",41,@CBSNews
0.0,Thu Jun 21 16:41:22 +0000 2018,0.0,1.0,0.0,"""They refer to these as shelters, but it is really a home for the children. This is their house. So their bedrooms… https://t.co/zxa1k58p9c",42,@CBSNews
0.3612,Thu Jun 21 13:59:39 +0000 2018,0.0,0.828,0.172,Burger King pulls Russia World Cup ad promoting sex with players https://t.co/t0mZxI8WLN https://t.co/pkctE8cMQV,43,@CBSNews
0.0,Thu Jun 21 11:21:22 +0000 2018,0.0,1.0,0.0,A teenager who escaped the California home where she and her 12 siblings were allegedly held captive by their paren… https://t.co/dtJz6XuBcC,44,@CBSNews
-0.3612,Thu Jun 21 07:48:04 +0000 2018,0.308,0.533,0.16,Man awarded $18.4 million in lawsuit over failed HIV test https://t.co/SyIMVEwfEZ https://t.co/yLPaOwLTvh,45,@CBSNews
-0.8126,Thu Jun 21 03:03:03 +0000 2018,0.316,0.684,0.0,"""Little Jacob"" case: Tip leads to ID of boy found dead on Galveston beach; two arrested https://t.co/SLkd8jrzpQ https://t.co/0Pu1pEAjge",46,@CBSNews
0.2732,Wed Jun 20 22:24:31 +0000 2018,0.0,0.909,0.091,"""We have heard people in high position in the American government blaspheme in the name of God and country that it… https://t.co/wFBkdWeNOx",47,@CBSNews
0.0,Wed Jun 20 18:08:34 +0000 2018,0.0,1.0,0.0,"BREAKING: American Airlines has ""requested the federal government to immediately refrain from using American for th… https://t.co/hN42wuABgR",48,@CBSNews
0.0,Wed Jun 20 15:40:14 +0000 2018,0.0,1.0,0.0,NEW: DHS Secretary Kristjen Nielsen is drafting an executive action for President Trump to sign that will keep fami… https://t.co/BU74IO4ycW,49,@CBSNews
0.0,Wed Jun 20 12:05:39 +0000 2018,0.0,1.0,0.0,The Associated Press reports that babies and other young children separated from their parents are now being held a… https://t.co/vySmBtkFOs,50,@CBSNews
0.0,Wed Jun 20 09:48:03 +0000 2018,0.0,1.0,0.0,FBI agent Peter Strzok escorted from agency amid disciplinary proceedings https://t.co/HLPp7MhIKj https://t.co/vfqTtJ8YTo,51,@CBSNews
0.0,Wed Jun 20 04:48:03 +0000 2018,0.0,1.0,0.0,"Armed civilian who took down Walmart shooter is pastor, medic https://t.co/NJD53btTFZ https://t.co/v5HRQILBeP",52,@CBSNews
-0.1531,Tue Jun 19 22:51:35 +0000 2018,0.086,0.914,0.0,Our CBS News Investigative team went undercover to expose the cozy relationship between lobbyists and several state… https://t.co/ynvn8US2lQ,53,@CBSNews
0.0,Tue Jun 19 18:30:43 +0000 2018,0.0,1.0,0.0,"Reporter: Can you talk about your personal observations of seeing photographs, hearing audio of the children at the… https://t.co/6mZjc9BDAc",54,@CBSNews
0.296,Tue Jun 19 16:43:09 +0000 2018,0.0,0.879,0.121,"WATCH NOW: President Trump speaks at a business luncheon amid escalating controversy over his ""zero tolerance"" immi… https://t.co/g072IbkrRJ",55,@CBSNews
0.4019,Tue Jun 19 13:30:44 +0000 2018,0.0,0.881,0.119,Ford Motor Company is stepping up its efforts to help Detroit compete with Silicon Valley. Take a look inside the d… https://t.co/jfxVkMd7zd,56,@CBSNews
-0.5574,Tue Jun 19 11:31:17 +0000 2018,0.175,0.825,0.0,.@GayleKing speaks with a man in Texas about the recent crackdown on illegal immigration along the U.S.-Mexico bord… https://t.co/4X7x408QeO,57,@CBSNews
0.4939,Tue Jun 19 09:33:03 +0000 2018,0.0,0.789,0.211,Study: Almost half of diabetics skip medical care due to costs https://t.co/S3ScuXBRn1 https://t.co/WgNCRz4WwP,58,@CBSNews
0.0,Tue Jun 19 04:33:03 +0000 2018,0.0,1.0,0.0,Report: 2 Akron firefighters allegedly made pornographic videos in firehouse https://t.co/ptXC7n7CoE https://t.co/GYbFr7f7ox,59,@CBSNews
-0.6249,Mon Jun 18 23:01:49 +0000 2018,0.177,0.823,0.0,Many of the immigrants traveling to our southern border are fleeing violence in their home countries in Central Ame… https://t.co/KTy9QAp8Ps,60,@CBSNews
-0.6249,Mon Jun 18 20:44:31 +0000 2018,0.231,0.769,0.0,"President Trump pins blame on Democrats for country's immigration problems, says ""the U.S. will not be a migrant ca… https://t.co/5wKNdA51Aw",61,@CBSNews
0.0772,Mon Jun 18 17:12:48 +0000 2018,0.118,0.749,0.134,"President Trump to Nat'l Space Council: ""In every way there's no place like space"" https://t.co/z2rZIMJc4F https://t.co/djokMq8bLY",62,@CBSNews
0.7906,Mon Jun 18 14:43:38 +0000 2018,0.0,0.667,0.333,"Homeland Security Secretary Kirstjen Niesel: ""Sheriffs see first hand that border security at the heart is an issue… https://t.co/BTgl6TwANM",63,@CBSNews
0.2263,Mon Jun 18 12:24:14 +0000 2018,0.059,0.844,0.097,"American Airlines warns that fares are likely to increase, to offset a nearly 26% jump in its fuel bill for the fir… https://t.co/u6TkA7uNNY",64,@CBSNews
0.0,Mon Jun 18 11:08:06 +0000 2018,0.0,1.0,0.0,.@DavidBegnaud was part of a select group of reporters who was allowed to go inside the facility. “We saw people in… https://t.co/pI39HGdHkn,65,@CBSNews
0.0,Mon Jun 18 07:18:04 +0000 2018,0.0,1.0,0.0,Rudy Giuliani lays out conditions for Trump interview with Mueller https://t.co/oFXcpNyisG https://t.co/CusoKOUHb5,66,@CBSNews
-0.7964,Mon Jun 18 02:39:53 +0000 2018,0.415,0.585,0.0,"Woman fatally stabbed by ex-boyfriend at Belmont racetrack, police say https://t.co/cPjInG2BLb https://t.co/C1M2QyK9Uc",67,@CBSNews
-0.8658,Sun Jun 17 22:20:48 +0000 2018,0.469,0.531,0.0,"Border Patrol car chase leaves 5 dead, 9 injured in high-speed crash in Texas. https://t.co/aiLGtLOZuK https://t.co/eNjebiiCjN",68,@CBSNews
0.0,Sun Jun 17 15:44:13 +0000 2018,0.0,1.0,0.0,.@margbrennan: You said July 4th is when you expect to have decision on whether the president will sit for intervie… https://t.co/HEBnXK1dK6,69,@CBSNews
-0.9246,Sun Jun 17 10:48:04 +0000 2018,0.573,0.427,0.0,Ex-doctor charged with murder in recent death of woman attacked in 1988 https://t.co/jXPzK49B4v https://t.co/fFMb5RcHDZ,70,@CBSNews
-0.6705,Sun Jun 17 05:48:05 +0000 2018,0.355,0.645,0.0,Electronics repair store manager charged with stealing customers’ nude photos https://t.co/IJdmZtEnU6 https://t.co/SZPk2Vyzb2,71,@CBSNews
0.34,Sun Jun 17 00:48:03 +0000 2018,0.0,0.806,0.194,Authorities build permanent security belt around the Eiffel Tower https://t.co/2yyc9mcAbj https://t.co/nfXcKALmsu,72,@CBSNews
0.0,Sat Jun 16 18:59:55 +0000 2018,0.0,1.0,0.0,The push toward immigration votes in the House is intensifying the divide among Republicans on one of the party's m… https://t.co/tShxfhQS5P,73,@CBSNews
0.0,Sat Jun 16 12:48:04 +0000 2018,0.0,1.0,0.0,Kellogg's voluntarily recalls Honey Smacks cereal over possible salmonella contamination https://t.co/meX8qNzXfo https://t.co/RGK3wvQt8f,74,@CBSNews
0.0,Sat Jun 16 07:48:04 +0000 2018,0.0,1.0,0.0,"World Cup Friday: Egypt vs. Uruguay, Morocco vs. Iran, Portugal vs. Spain https://t.co/Ttscy3yYQU https://t.co/glAXWek6ZK",75,@CBSNews
-0.2732,Sat Jun 16 02:59:56 +0000 2018,0.11,0.89,0.0,Attorney General Barbara Underwood is suing to dissolve the Trump Foundation for allegedly misusing funds for perso… https://t.co/Jf042EvqPS,76,@CBSNews
-0.3612,Fri Jun 15 21:39:55 +0000 2018,0.133,0.806,0.062,A poll of the American public and its media suggest journalists overestimate distrust of audiences that want more o… https://t.co/RTfyHJ2NvV,77,@CBSNews
-0.3089,Fri Jun 15 16:24:01 +0000 2018,0.148,0.852,0.0,"House won't take on immigration without President Trump's support, after Trump expresses doubts… https://t.co/5lnWBKMHFQ",78,@CBSNews
-0.6369,Fri Jun 15 13:13:27 +0000 2018,0.174,0.826,0.0,"“I call them ‘war games.’ I hated them from the day I came in,"" President Trump says of exercises with South Korea.… https://t.co/K6QtQr8Cbv",79,@CBSNews
0.5267,Fri Jun 15 11:35:56 +0000 2018,0.0,0.833,0.167,"Congressman Steve Scalise made a triumphant return to the ballfield, one year after a shooting that almost took his… https://t.co/ESJBTFYPv6",80,@CBSNews
0.0,Fri Jun 15 08:48:04 +0000 2018,0.0,1.0,0.0,"Pennsylvania hit by two tornadoes, officials confirm https://t.co/wlszBFcp6N https://t.co/4g1bRYhhGk",81,@CBSNews
0.0,Fri Jun 15 03:48:04 +0000 2018,0.0,1.0,0.0,"Sarah Sanders, Raj Shah planning to depart the White House https://t.co/3Ie1iSeWfg https://t.co/8iWz9ePLa4",82,@CBSNews
0.3818,Thu Jun 14 21:59:27 +0000 2018,0.0,0.885,0.115,"""Nothing in this report impugns the integrity of our workforce as a whole or the FBI as an institution"": FBI Direct… https://t.co/SXaRrBA6z7",83,@CBSNews
0.0,Thu Jun 14 19:31:26 +0000 2018,0.0,1.0,0.0,"“Don’t you have any empathy? Come on, Sarah, you’re a parent. Don't you have any empathy for what these people are… https://t.co/s0lS49VstX",84,@CBSNews
-0.5859,Thu Jun 14 15:52:06 +0000 2018,0.194,0.806,0.0,Three fire trucks and two ambulances have arrived on the White House grounds.  D.C. Fire and EMS say there was a me… https://t.co/grexlYjLcP,85,@CBSNews
0.34,Thu Jun 14 12:15:48 +0000 2018,0.0,0.876,0.124,Apple says it is closing a security gap in iPhones that allows access to personal information without a password… https://t.co/tb4v9mqNsn,86,@CBSNews
0.4588,Thu Jun 14 10:45:50 +0000 2018,0.062,0.773,0.165,Ahead on @CBSThisMorning: Country music star @DierksBentley shows @JanCBS what inspired him to leave Nashville for… https://t.co/po8WpWGRCL,87,@CBSNews
0.0,Thu Jun 14 06:03:03 +0000 2018,0.0,1.0,0.0,Dancing FBI agent appears in court in back flip gunfire case https://t.co/Mk9hNfzRpq https://t.co/0cV8gqrk2S,88,@CBSNews
-0.0516,Thu Jun 14 00:01:22 +0000 2018,0.062,0.938,0.0,"BREAKING NEWS: Sarah Sanders and Raj Shah are preparing to leave the White House, sources tell CBS News.… https://t.co/PGHT9gG3oR",89,@CBSNews
-0.4588,Wed Jun 13 17:34:45 +0000 2018,0.143,0.857,0.0,"A U.S. Border Patrol agent who was wounded in a shooting in southern Arizona was attacked by several assailants, on… https://t.co/9zFOmdtEtG",90,@CBSNews
0.0,Wed Jun 13 13:30:02 +0000 2018,0.0,1.0,0.0,Guess co-founder steps down after sex misconduct investigation https://t.co/HUUiJkfyZs https://t.co/OREei8WD44,91,@CBSNews
-0.3182,Wed Jun 13 11:22:16 +0000 2018,0.113,0.887,0.0,A U.S. Border Patrol agent is in critical condition this morning after a shooting on a cattle ranch in southern Ari… https://t.co/IReF0KF9AZ,92,@CBSNews
-0.5423,Wed Jun 13 08:48:04 +0000 2018,0.226,0.774,0.0,"Man kills 4 kids he held hostage and himself, ending standoff: Police https://t.co/iv6TeiuXEQ https://t.co/MqGkd3jPKO",93,@CBSNews
-0.3182,Wed Jun 13 03:48:03 +0000 2018,0.141,0.859,0.0,"Buyer of this authentic ""ghost town"" can own piece of the Wild West https://t.co/6bMFEdlZXG https://t.co/FDjBG0U21K",94,@CBSNews
0.0,Tue Jun 12 21:39:38 +0000 2018,0.0,1.0,0.0,"Is an exploding airbag still in your car? Takata airbags were recalled, but many U.S. drivers haven't had them repl… https://t.co/5VxbparbRX",95,@CBSNews
-0.7003,Tue Jun 12 17:14:45 +0000 2018,0.345,0.655,0.0,Extreme fire danger forces rare shutdown of national forests in West https://t.co/1rlj92zMy3 https://t.co/eu1WHem8QO,96,@CBSNews
0.0,Tue Jun 12 12:33:58 +0000 2018,0.0,1.0,0.0,"""[Kim Jong Un] can come to the White House as long as he gives up his nuclear program, gives up his missile program… https://t.co/FTfwsiRVUo",97,@CBSNews
0.4767,Tue Jun 12 11:08:29 +0000 2018,0.0,0.886,0.114,President Trump says he now trusts Kim Jong Un and knows he wants to make a deal. Trump also said he is open to tra… https://t.co/Qi6k7zzOuJ,98,@CBSNews
-0.5994,Tue Jun 12 08:48:41 +0000 2018,0.187,0.813,0.0,"President Trump on ending U.S. ""war games"" with South Korea: ""Under the circumstances that we're negotiating a very… https://t.co/WSwOgHntrE",99,@CBSNews
0.0258,Tue Jun 12 06:53:30 +0000 2018,0.0,0.939,0.061,Joint document says North Korea commits to working towards complete denuclearization; White House has yet to offici… https://t.co/ycriovhFwM,100,@CBSNews
0.34,Thu Jun 28 19:09:32 +0000 2018,0.0,0.844,0.156,Kim Jong Un ordered army officer executed after giving soldiers extra food: report https://t.co/QVEQca88K1,1,@Foxnews
0.0,Thu Jun 28 16:43:01 +0000 2018,0.0,1.0,0.0,Texas police catch 8-foot alligator heading toward Walmart in wild video https://t.co/OMgPcmJmV7,2,@Foxnews
0.0,Thu Jun 28 14:05:32 +0000 2018,0.0,1.0,0.0,.@POTUS to meet Putin on July 16 https://t.co/HzCupwZ6zk https://t.co/Pvw6BBGrs0,3,@Foxnews
0.4588,Thu Jun 28 10:59:16 +0000 2018,0.0,0.75,0.25,".@SharkGregNorman: ""When I travel the world...people say, 'Welcome back, America.'"" https://t.co/SSGnKQWgAP",4,@Foxnews
0.34,Thu Jun 28 09:30:01 +0000 2018,0.0,0.882,0.118,CATCH OF A LIFETIME: One young fan’s night was complete after New York @Yankees outfielder Aaron Judge played catch… https://t.co/2K8WsYMweD,5,@Foxnews
0.0,Thu Jun 28 08:04:28 +0000 2018,0.0,1.0,0.0,Potential SCOTUS Nominees https://t.co/7Do7LBbAzT https://t.co/02WC8PtmoJ,6,@Foxnews
0.4215,Thu Jun 28 05:38:00 +0000 2018,0.0,0.851,0.149,An @ORStatePolice sergeant rescued a wounded female eagle over the weekend before transporting it in a police cruis… https://t.co/MATXC0Xt4i,7,@Foxnews
0.0,Thu Jun 28 03:19:43 +0000 2018,0.0,1.0,0.0,Potential SCOTUS Nominees https://t.co/qXP5XDFIEx https://t.co/78TSVQIRkt,8,@Foxnews
0.0,Thu Jun 28 01:14:11 +0000 2018,0.0,1.0,0.0,"President @realDonaldTrump: ""When we're $500 billion down, they say 'Trump is starting a trade war.' I say, 'No, th… https://t.co/8OktZiEHla",9,@Foxnews
0.3612,Wed Jun 27 23:47:28 +0000 2018,0.0,0.872,0.128,".@gen_jackkeane on upcoming @POTUS meeting with Russian President Putin: ""A meeting like this does give [Putin] a s… https://t.co/GTThjAfrpC",10,@Foxnews
-0.3612,Wed Jun 27 21:48:30 +0000 2018,0.135,0.865,0.0,"Maxine Waters, Kathy Griffin, Samantha Bee, others targeted in RNC campaign ad criticizing the 'unhinged left' https://t.co/vnWVPRywel",11,@Foxnews
-0.3875,Wed Jun 27 19:50:04 +0000 2018,0.168,0.832,0.0,North Korea continues construction of nuclear research facility despite agreement to 'denuclearize': report https://t.co/jmGYjmVDpv,12,@Foxnews
0.7269,Wed Jun 27 18:35:39 +0000 2018,0.0,0.747,0.253,".@SenateMajLdr: ""As Justice Kennedy concludes his tenure on the court, we wish him, his wife Mary and their family… https://t.co/opa1tx9wTQ",13,@Foxnews
0.886,Wed Jun 27 16:34:46 +0000 2018,0.0,0.49,0.51,"RT @FoxBusiness: .@POTUS: ""We must honor and respect our great American Flag."" https://t.co/HMkUF7dw7Y",14,@Foxnews
0.0772,Wed Jun 27 15:13:30 +0000 2018,0.0,0.942,0.058,"RT @FoxBusiness: Mark Janus, plaintiff: ""It's up to the worker to decide what they want for themselves not some larger entity."" https://t.c…",15,@Foxnews
0.34,Wed Jun 27 13:24:35 +0000 2018,0.0,0.806,0.194,.@marcorubio: “We have to have security. We’re a sovereign nation.” @foxandfriends https://t.co/uAfB5vc30e,16,@Foxnews
0.0,Wed Jun 27 09:40:56 +0000 2018,0.0,1.0,0.0,Maxine Waters' GOP rival seeks traction over her inflammatory comments https://t.co/3GKgxo4SQK,17,@Foxnews
0.0,Wed Jun 27 07:30:00 +0000 2018,0.0,1.0,0.0,".@LindseyGrahamSC: ""The person in charge of the #Clinton email investigation, Mr. Strzok, and Ms. Page were in the… https://t.co/jkewOLSJ9V",18,@Foxnews
-0.1779,Wed Jun 27 05:08:00 +0000 2018,0.21,0.615,0.174,OPINION: @TomFitton: Maxine Waters should be investigated for encouraging violence against Trump officials https://t.co/JrhylQc95p,19,@Foxnews
-0.5994,Wed Jun 27 02:54:49 +0000 2018,0.347,0.653,0.0,Sec. Elaine Chao tells protesters to 'leave alone' husband Sen. Mitch McConnell when confronted on immigration. https://t.co/quf54ycWr6,20,@Foxnews
0.0,Wed Jun 27 00:35:26 +0000 2018,0.0,1.0,0.0,Body found at home of NY Giants star Janoris Jenkins. https://t.co/3KuUUUQi2U,21,@Foxnews
0.0,Tue Jun 26 22:51:41 +0000 2018,0.0,1.0,0.0,A preview of the GOP Senate primary race in Utah ahead of the polls closing. #SpecialReport https://t.co/OKSHweINSH,22,@Foxnews
0.0,Tue Jun 26 20:12:54 +0000 2018,0.209,0.581,0.209,.@Judgenap reacts to the Supreme Court travel ban ruling https://t.co/YJoYrCncJe #Cavuto https://t.co/z5sqrWWGnv,23,@Foxnews
0.5984,Tue Jun 26 17:51:26 +0000 2018,0.0,0.698,0.302,"RT @FoxBusiness: .@POTUS: ""Tariffs can be a very positive thing."" https://t.co/tMKPay5m7S",24,@Foxnews
0.0516,Tue Jun 26 15:56:41 +0000 2018,0.207,0.575,0.218,".@JudgeNap on SCOTUS Upholding Travel Ban: 'Ringing, Uncompromising' Win for Trump https://t.co/4uchKJLso1",25,@Foxnews
0.0258,Tue Jun 26 14:13:04 +0000 2018,0.287,0.422,0.291,Breaking News: Supreme Court rules for crisis pregnancy centers in free speech dispute https://t.co/yAeVB0c6E2,26,@Foxnews
0.1761,Tue Jun 26 10:23:04 +0000 2018,0.198,0.617,0.185,"OPINION: Ten Years after Heller decision, gun rights continue trend toward more freedom, not more gun control https://t.co/47iLqCM6UT",27,@Foxnews
0.0,Tue Jun 26 08:15:00 +0000 2018,0.0,1.0,0.0,".@ IngrahamAngle: ""Publicly shaming conservatives and targeting them in public— it's become the new tactic of the l… https://t.co/PgZoCMAS1S",28,@Foxnews
-0.6808,Tue Jun 26 05:45:00 +0000 2018,0.28,0.72,0.0,".@POTUS on North Korea: ""There's been no rocket tests, there's been no nuclear tests, there's been no ballistic mis… https://t.co/hYFpLpN6zt",29,@Foxnews
-0.6486,Tue Jun 26 03:20:00 +0000 2018,0.223,0.777,0.0,"Masked men terrorize Texas family, burn child with hot water during home invasion, officials say https://t.co/aOCuTWjQ40",30,@Foxnews
-0.1779,Tue Jun 26 01:35:00 +0000 2018,0.096,0.904,0.0,"On the Senate floor Monday, @SenSchumer rebuked @RepMaxineWaters' comments calling for people to confront members o… https://t.co/9crbROSNBy",31,@Foxnews
0.1154,Mon Jun 25 23:52:19 +0000 2018,0.0,0.929,0.071,".@MoElleithee: ""Mr. President, we are asking you— I'm a Democrat, but I'm an American. I want you to do your job."" https://t.co/5SLqRIrn48",32,@Foxnews
-0.1531,Mon Jun 25 22:10:39 +0000 2018,0.127,0.773,0.1,".@RepMaxineWaters: ""Trump is the one who is creating lies, trying to have people believe that I talked about harmin… https://t.co/SvOemsK9bd",33,@Foxnews
0.0,Mon Jun 25 19:53:34 +0000 2018,0.0,1.0,0.0,.@PressSec Sarah Sanders holds a @WhiteHouse briefing. https://t.co/wG52O89FFH,34,@Foxnews
-0.7351,Mon Jun 25 17:09:22 +0000 2018,0.383,0.617,0.0,"SeaWorld officials 'heartbroken' after girl, 5, fatally struck in parking lot https://t.co/CB61HSUOZx",35,@Foxnews
-0.6486,Mon Jun 25 14:50:12 +0000 2018,0.223,0.777,0.0,"Masked men terrorize Texas family, burn child with hot water during home invasion, officials say https://t.co/aOCuTW2fcs",36,@Foxnews
